metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
smartd.raw_read_error_rate,gauge,,,,Raw read error rate,0,smartd,read error rate,
smartd.spin_up_time,gauge,,,,Spin up time (vendor-specific raw value),0,smartd,spin up time,
smartd.start_stop_count,count,,,,Spindle start/stop count,0,smartd,start stop count,
smartd.reallocated_sectors,count,,,,Count of reallocated sectors,-1,smartd,reallocated sectors,
smartd.power_on_hours,count,,hour,,Total power-on hours,0,smartd,power on hours,
smartd.spin_retry_count,count,,,,Spin retry count,-1,smartd,spin retries,
smartd.power_cycle_count,count,,,,Power cycle count,0,smartd,power cycles,
smartd.wear_leveling_count,count,,,,SSD wear leveling count (vendor-specific),-1,smartd,wear leveling,
smartd.used_reserved_block_count,count,,,,SSD used reserved block count,-1,smartd,used reserved blocks,
smartd.program_fail_count,count,,,,SSD NAND program (write) failure count,-1,smartd,program fail count,
smartd.erase_fail_count,count,,,,SSD NAND erase failure count,-1,smartd,erase fail count,
smartd.reported_uncorrectable_errors,count,,,,Reported uncorrectable errors,-1,smartd,reported uncorrectable,
smartd.command_timeout,count,,,,Count of aborted commands due to HDD timeout (vendor-specific raw encoding),-1,smartd,command timeout,
smartd.airflow_temperature,gauge,,degree celsius,,Airflow temperature (secondary temperature sensor),-1,smartd,airflow temperature,
smartd.power_off_retract_count,count,,,,Emergency head retract count (power-off or loss),-1,smartd,power off retracts,
smartd.load_cycle_count,count,,,,Head load/unload cycle count,0,smartd,load cycles,
smartd.temperature,gauge,,degree celsius,,Current drive temperature,-1,smartd,temperature,
smartd.reallocated_event_count,count,,,,Reallocated event count,-1,smartd,reallocated events,
smartd.current_pending_sectors,gauge,,,,Sectors pending reallocation,-1,smartd,pending sectors,
smartd.offline_uncorrectable,gauge,,,,Offline uncorrectable sectors,-1,smartd,offline uncorrectable,
smartd.udma_crc_error_count,count,,,,UDMA CRC errors,-1,smartd,crc errors,
smartd.por_recovery_count,count,,,,SSD unexpected power-loss recovery count,-1,smartd,power loss recovery,
smartd.head_flying_hours,count,,hour,,Head flying hours,0,smartd,head flying hours,
smartd.total_lbas_written,count,,,,Total LBAs written (raw, vendor-specific encoding),0,smartd,total lbas written,
smartd.total_lbas_read,count,,,,Total LBAs read (raw, vendor-specific encoding),0,smartd,total lbas read,
smartd.ata_error_count,count,,,,Number of entries in the drive's ATA error log,-1,smartd,ata errors,
smartd.self_test_errors,count,,,,Number of recorded SMART self-test failures,-1,smartd,self test errors,
smartd.self_test_last_err_hour,gauge,,hour,,Power-on hour at which the last SMART self-test error occurred,0,smartd,last self test error hour,
